Individuo | Variable | Mascara | Original | Mutado | Noise | Lower | Upper
8         | 27       | 0       | -19.6375 | -19.6375 | -1.4353  | -20.0000 | 0.0000  
8         | 28       | 0       | 0.0000   | 0.0000   | -2.3782  | -600.0000 | 600.0000
8         | 29       | 0       | 0.0000   | 0.0000   | 4.3965   | -400.0000 | 200.0000
8         | 30       | 0       | 0.0000   | 0.0000   | 1.0210   | -20.0000 | 0.0000  

9         | 1        | 0       | 0.0000   | 0.0000   | -2.3660  | -600.0000 | 600.0000
9         | 2        | 0       | 0.0000   | 0.0000   | 4.4499   | -400.0000 | 200.0000
9         | 3        | 0       | 0.0000   | 0.0000   | -0.1992  | -20.0000 | 0.0000  
9         | 4        | 0       | 0.4313   | 0.4313   | -0.4254  | -600.0000 | 600.0000
9         | 5        | 1       | 14.5304  | 13.0887  | -1.4417  | -400.0000 | 200.0000
9         | 6        | 0       | -5.2910  | -5.2910  | 1.7209   | -20.0000 | 0.0000  
9         | 7        | 0       | 176.9190 | 176.9190 | 0.1260   | -600.0000 | 600.0000
9         | 8        | 0       | -229.3051 | -229.3051 | 0.5545   | -400.0000 | 200.0000
9         | 9        | 1       | -16.6867 | -16.7274 | -0.0407  | -20.0000 | 0.0000  
9         | 10       | 0       | 163.1284 | 163.1284 | 3.3052   | -600.0000 | 600.0000
9         | 11       | 0       | -39.9160 | -39.9160 | 1.8326   | -400.0000 | 200.0000
9         | 12       | 1       | -18.1747 | -19.6230 | -1.4483  | -20.0000 | 0.0000  
9         | 13       | 0       | 247.6380 | 247.6380 | 1.4688   | -600.0000 | 600.0000
9         | 14       | 1       | -126.8968 | -129.5208 | -2.6240  | -400.0000 | 200.0000
9         | 15       | 0       | -8.4628  | -8.4628  | -3.0388  | -20.0000 | 0.0000  
9         | 16       | 0       | 404.8405 | 404.8405 | 2.8254   | -600.0000 | 600.0000
9         | 17       | 0       | -298.1629 | -298.1629 | 2.8720   | -400.0000 | 200.0000
9         | 18       | 1       | -19.9417 | -19.8889 | 0.0528   | -20.0000 | 0.0000  
9         | 19       | 0       | 334.9231 | 334.9231 | 3.2569   | -600.0000 | 600.0000
9         | 20       | 1       | -31.9260 | -32.4794 | -0.5534  | -400.0000 | 200.0000
9         | 21       | 0       | -2.5767  | -2.5767  | 1.3544   | -20.0000 | 0.0000  
9         | 22       | 0       | 405.0070 | 405.0070 | -0.3988  | -600.0000 | 600.0000
9         | 23       | 0       | 80.2230  | 80.2230  | 2.5229   | -400.0000 | 200.0000
9         | 24       | 0       | 0.0000   | 0.0000   | 1.9978   | -20.0000 | 0.0000  
9         | 25       | 1       | 280.1252 | 279.6664 | -0.4588  | -600.0000 | 600.0000
9         | 26       | 1       | -176.6960 | -175.3116 | 1.3845   | -400.0000 | 200.0000
9         | 27       | 1       | -4.6564  | -6.6973  | -2.0409  | -20.0000 | 0.0000  
9         | 28       | 0       | 0.0000   | 0.0000   | -2.4300  | -600.0000 | 600.0000
9         | 29       | 0       | 0.0000   | 0.0000   | -0.5683  | -400.0000 | 200.0000
9         | 30       | 0       | 0.0000   | 0.0000   | 0.7947   | -20.0000 | 0.0000  

10        | 1        | 0       | 0.0000   | 0.0000   | 1.1598   | -600.0000 | 600.0000
10        | 2        | 0       | 0.0000   | 0.0000   | -0.8779  | -400.0000 | 200.0000
10        | 3        | 0       | 0.0000   | 0.0000   | 0.6322   | -20.0000 | 0.0000  
10        | 4        | 0       | 0.4313   | 0.4313   | -0.0870  | -600.0000 | 600.0000
10        | 5        | 0       | 14.5304  | 14.5304  | -3.3579  | -400.0000 | 200.0000
10        | 6        | 0       | -6.0573  | -6.0573  | -0.0329  | -20.0000 | 0.0000  
10        | 7        | 0       | 178.3667 | 178.3667 | 0.1596   | -600.0000 | 600.0000
10        | 8        | 0       | -234.8271 | -234.8271 | 0.2133   | -400.0000 | 200.0000
10        | 9        | 0       | -19.4851 | -19.4851 | -1.2749  | -20.0000 | 0.0000  
10        | 10       | 1       | 163.1284 | 162.9201 | -0.2083  | -600.0000 | 600.0000
10        | 11       | 0       | -41.1070 | -41.1070 | 4.4747   | -400.0000 | 200.0000
10        | 12       | 0       | -16.4129 | -16.4129 | 2.6864   | -20.0000 | 0.0000  
10        | 13       | 0       | 247.7969 | 247.7969 | 0.4238   | -600.0000 | 600.0000
10        | 14       | 1       | -126.8968 | -126.0713 | 0.8255   | -400.0000 | 200.0000
10        | 15       | 0       | -8.5215  | -8.5215  | -0.0993  | -20.0000 | 0.0000  
10        | 16       | 1       | -179.2949 | -178.7011 | 0.5938   | -600.0000 | 600.0000
10        | 17       | 0       | -46.0494 | -46.0494 | -3.3365  | -400.0000 | 200.0000
10        | 18       | 1       | -12.1551 | -13.3163 | -1.1612  | -20.0000 | 0.0000  
10        | 19       | 0       | -315.3278 | -315.3278 | -2.9239  | -600.0000 | 600.0000
10        | 20       | 1       | -338.9305 | -341.0430 | -2.1125  | -400.0000 | 200.0000
10        | 21       | 1       | -16.9428 | -20.0000 | -3.2154  | -20.0000 | 0.0000  
10        | 22       | 1       | 407.7627 | 404.6981 | -3.0646  | -600.0000 | 600.0000
10        | 23       | 0       | -169.7002 | -169.7002 | 0.8937   | -400.0000 | 200.0000
