Tiempo,Profundidad,Temperatura,pH,DO_SAT,DO,Blue,Chl
,-643.863,24.639,668.709,960.926,799.412,335.705,965.681
,-646.836,246.443,669.661,965.635,803.252,451.766,909.265
,-641.882,246.467,669.283,962.873,800.918,678.233,87.709
,-645.845,24.646,663.968,963.257,801.248,3.6102,553.589
,-633.954,246.534,667.554,961.597,799.758,676.675,702.843
,-645.845,246.522,666.208,95.91,797.699,258.853,648.748
,-640.891,246.577,664.042,960.901,799.115,362.608,860.991
,-646.836,246.704,667.514,961.579,799.491,240.686,133.942
,-645.845,246.779,666.794,957.767,796.212,540.029,148.537
,-640.891,246.776,626.903,963.965,801.369,425.642,132.633
,-613.143,246.852,644.347,104.666,869.996,0,0
,-604.224,247.129,679.209,111.686,9.2787,365.516,0
,-596.297,247.305,694.695,117.03,9.7195,0,0
,-593.324,247.463,707.465,121.533,10.0905,574.513,0
,-591.342,247.466,703.415,122.984,10.211,481.248,0
,-592.333,247.513,700.758,124.609,10.3449,777.747,0
,-588.369,247.472,705.359,126.057,10.4643,573.461,0
,-57.945,247.531,708.208,127.971,10.6248,134.578,0
,-578.459,247.575,704.851,128.511,10.6677,820.152,0
,-582.423,247.554,706.973,128.447,10.6627,0,0
,-583.414,24.759,711.029,130.336,10.8189,239.174,0
,-577.468,247.578,712.852,nan,10.8028,0,0
,-576.477,247.655,712.214,130.439,10.8261,409.493,0
,-576.477,247.562,709.762,130.056,10.7962,116.834,0
,-576.477,247.599,711.084,128.704,10.6832,436.664,0
,-578.459,247.653,701.306,128.623,10.6754,777.699,0
,-565.576,247.503,706.347,127.763,10.607,152.594,0
,-568.549,247.692,705.252,126.485,10.4972,0,0
,-567.558,247.503,7.01,126.235,nan,537.187,0
,-563.594,247.601,7.014,129.676,10.7638,460.248,0
,-563.594,247.575,700.166,127.611,10.593,514.702,0
,-567.558,247.602,702.514,128.533,10.6689,993.244,0
,-55.963,247.584,702.784,127.224,10.5606,0,0
,-570.531,247.615,7.0274,127.252,10.5624,651.742,0
,-52.891,247.483,702.897,126.918,10.5373,512.501,0
,-572.513,247.604,698.845,125.91,10.4512,nan,0
,-56.954,247.473,701.056,125.835,10.4475,177.989,0
,-573.504,247.462,701.109,124.151,10.3079,0,0
,-566.567,247.437,700.996,124.082,10.3026,1.6068,0
,-567.558,247.488,699.213,123.122,10.222,137.221,0
,-566.567,247.361,696.449,122.633,10.1838,597.804,0
,-568.549,247.321,698.519,121.851,10.1196,0,0
,-55.963,247.392,696.725,120.846,10.0348,140.415,0
,-561.612,247.362,700.931,123.05,10.2184,0,0
,-562.603,247.417,701.429,123.953,10.2924,779.775,0
